play_name,goal,stage,difficulty,impact,channels,summary,trigger,actions,sop
Contact Internal Moves,Cold / New Leads,Pre-Sales,Intermediate,High,"Email, Phone, Ads","Personnel changes create great prospecting opportunities. For example, when an executive is promoted internally, they typically look to make their mark in the first 90 days, including evaluating existing technology and services and buying new ones. 
Getting in front of these executives early gives you the chance to influence their agenda and increase your odds of winning a deal. Plus, a new job is a natural conversation starter, since people are already fielding plenty of congratulations from their extended networks. 
Personnel moves can also reveal strategic changes at a company. For example,",'- Identify Scoop signals with specific scoop types and within specific departments at a company within your ICP (ideal customer profile),"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Set Up Scoop Monitoring
- Configure system to track specific scoop types (e.g., promotions, new hires)
- Focus on relevant departments within target companies

## 2. Define Target Criteria
- Establish filters for ideal customer profile (ICP)
- Set contact criteria (e.g., management level, department)

## 3. Automated Lead Discovery
- Monitor for new scoops meeting defined criteria
- Trigger contact discovery process in ZoomInfo

## 4. Data Export and Enrichment
- Export up to 20 discovered contacts to designated system (CRM/MAT/SEP/CSV)
- Enrich contact data with additional ZoomInfo information

## 5. Lead Assignment
- Automatically assign leads to specified sales team members

## 6. Campaign Enrollment (Optional)
- Create personalized nurture sequence acknowledging the personnel move
- Enroll discovered contacts into the campaign

## 7. Multi-Channel Engagement
- Implement outreach across various channels (email, phone, ads)

## 8. Personalized Outreach
- Craft congratulatory messages for new roles or promotions
- Highlight relevant services or products based on the contact's new position

## 9. Follow-up Strategy
- Schedule follow-up actions within the first 90 days of the contact's new role
- Prepare to discuss how your offering can support their new objectives

## 10. Performance Monitoring
- Track engagement and conversion metrics
- Analyze effectiveness of timing and messaging in relation to internal moves

## 11. Continuous Optimization
- Regularly review and ref"
General News Signal,Cold / New Leads,Pre-Sales,Easy,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Company news can predict an organization’s readiness to purchase. When significant company news happens — such as the opening of a new facility, the relocation an office, or company-wide layoffs — your sales and marketing teams should move quickly and reach out to new buying groups. 
However, it's difficult and time-consuming to track company news. With ZoomInfo's Scoops function, automated triggers and actions can keep track of company news. Instead of manually adding contacts to campaigns and lists, you'll be able to stay focused on fostering customer relationships, prospecting sales, and cl",- Identify news signals within specific category types for your ICP,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Configure News Signal Monitoring
- Set up Scoops monitoring for specific news categories
- Define ICP criteria for relevant companies

## 2. Establish Contact Criteria
- Determine key roles and departments for buying committee
- Set management level and other relevant filters

## 3. Automated Lead Discovery
- Monitor for new Scoops matching defined criteria
- Trigger contact discovery process in ZoomInfo

## 4. Data Export and Enrichment
- Export discovered contacts to designated business system
- Enrich company and contact data as needed

## 5. Lead Assignment
- Automatically assign leads to appropriate team members

## 6. Campaign Enrollment
- Create targeted campaign based on news type
- Enroll discovered contacts into the campaign

## 7. Multi-Channel Engagement
- Implement outreach across various channels (email, phone, ads, etc.)
- Personalize messaging based on the specific news event

## 8. Performance Tracking
- Monitor engagement and conversion metrics
- Analyze effectiveness of different news categories

## 9. Continuous Refinement
- Regularly review and adjust Scoops criteria
- Update campaign strategies based on performance data"
Opportunity News Signal,Cold / New Leads,Pre-Sales,Easy,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Company news can predict an organization’s readiness to purchase. When significant company opportunity news happens, such as new products or market initiatives, your sales and marketing teams should move quickly and reach out to new buying groups. 
However, it's difficult and time-consuming to track these constant movements and developments. With ZoomInfo's Scoops function, automated triggers and actions can track new opportunities. Instead of manually adding contacts to campaigns and lists, you'll be able to stay focused on fostering customer relationships, prospecting sales, and closing deal",- Identify a news signal for a company with an open opportunities,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Configure Scoops Monitoring
- Set up ZoomInfo Scoops to monitor relevant news signals
- Define specific scoops types and departments of interest

## 2. Establish Contact Criteria
- Determine management level and department filters
- Set maximum number of contacts to discover (e.g., up to 20)

## 3. Automated Contact Discovery
- When relevant scoop is detected, trigger contact discovery in ZoomInfo
- Apply predefined contact criteria to identify key decision-makers

## 4. Data Export and Integration
- Configure export settings to chosen business system (CRM/MAT/SEP)
- Set up automatic export of discovered contacts

## 5. Lead Assignment
- Define rules for automatic assignment to specific users or teams

## 6. Campaign Enrollment
- Create targeted campaigns based on scoop types
- Set up automatic enrollment of exported contacts into relevant campaigns

## 7. Multi-Channel Engagement
- Implement outreach strategy across email, phone, ads, and other channels
- Tailor messaging to align with the detected opportunity news

## 8. Performance Tracking
- Monitor engagement rates and conversion metrics
- Track ROI of the Opportunity News Signal play

## 9. Continuous Refinement
- Regularly review and adjust scoop types and contact criteria
- Update campaign content based on performance data and market trends

## 10. Team Training
- Educate sales and marketing teams on the Opportunity News Signal process
- Provide guidelines for personalized follow-up based on scoop information"
Financial News Signal,Cold / New Leads,Pre-Sales,Easy,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Company news can predict an organization’s readiness to purchase. When significant company financial news happens, such as mergers and acquisitions, your sales and marketing teams should move quickly and reach out to new buying groups. 
However, it's difficult and time-consuming to track companies' financial news. With ZoomInfo's Scoops function, you can track these moves in real-time using automated triggers and actions. Instead of manually adding contacts to campaigns and lists, you'll be able to stay focused on fostering customer relationships, prospecting sales, and closing deals.","'- Identify financial news signals (M&A, Financing, etc.) for companies in your ICP","'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Monitor Financial News Signals
- Configure system to track M&A, financing, and other relevant financial news
- Set up alerts for companies within your Ideal Customer Profile (ICP)

## 2. Define Contact Criteria
- Establish filters for target contacts (e.g., management level, department)
- Set maximum number of contacts to discover per company (e.g., up to 20)

## 3. Automated Contact Discovery
- Upon financial news trigger, initiate ZoomInfo contact discovery
- Apply predefined contact filters to find relevant decision-makers

## 4. Data Export and Routing
- Export discovered contacts to chosen business system (CRM, MAT, SEP)
- Assign leads to appropriate sales team members

## 5. Campaign Enrollment
- Create targeted campaign based on specific financial news event
- Automatically enroll discovered contacts into the campaign

## 6. Multi-Channel Outreach
- Implement outreach strategy across email, phone, ads, and other channels
- Tailor messaging to address implications of the financial news event

## 7. Performance Tracking
- Monitor engagement rates and conversion metrics
- Analyze effectiveness of outreach for different financial news types

## 8. Continuous Refinement
- Regularly review and adjust contact discovery criteria
- Update campaign messaging based on performance data and market trends

## 9. Team Alignment
- Ensure sales and marketing teams are briefed on the automated process
- Provide guidance on personalized follow-up strategies"
Lookalike ICP Targeting,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Setting up scoring models to target the best-fit, highest priority accounts is essential for optimizing outbound prospecting performance. Many scoring models rely on CRM data to seed and train the model to return an ideal customer profile—but that data is often inaccurate or incomplete. 
You can analyze account profiles for deals won and lost, customer attributes, firmographics, technologies, and other relevant data points to create ideal customer profiles. You can further prioritize your ICPs with buyer intent and other actionable insights.",- Identify ZoomInfo Companies which now meet your Saved Search company filter criteria,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Define Ideal Customer Profile (ICP)
- Analyze closed-won and closed-lost accounts
- Import account list to generate automatic ICP
- Identify key attributes for lookalike targeting

## 2. Set Up Saved Search
- Configure saved search with ICP attributes
- Establish company filter criteria

## 3. Configure Contact Filters
- Set management level and department criteria
- Determine number of contacts to discover per company

## 4. Automated Lead Discovery
- Monitor for new companies meeting saved search criteria
- Trigger contact discovery process in ZoomInfo

## 5. Data Export and Enrichment
- Export discovered contacts to CRM/MAT/SEP
- Enrich company and contact data as needed

## 6. Lead Assignment
- Automatically assign leads to appropriate sales team members

## 7. Campaign Enrollment
- Create targeted email campaign for lookalike prospects
- Enroll discovered contacts into the campaign

## 8. Multi-Channel Engagement
- Implement outreach across various channels (email, phone, ads, etc.)

## 9. Performance Monitoring
- Track engagement and conversion metrics
- Compare performance against non-lookalike prospects

## 10. Continuous Optimization
- Regularly review and refine ICP criteria
- Update lookalike targeting based on new closed-won data"
Review Site Intent,Cold / New Leads,Pre-Sales,Intermediate,High,"Email, Text, Mail, Events, Ads, Chat, Phone","You can purchase intent data from review sites to identify prospects that are further along in the buying process and actively in the market for solutions. This ""late stage"" intent data provides visibility into who is researching your category, specific products, or competitors (and possible alternatives). 
Take your campaign to the next level by using company visitor information. Enhance the data to identify Buying Committee members at the interested companies. 
Target these ready prospects with an automated email campaign that outlines what makes your product a better alternative to competit",- Identify companies which now meet your Saved Search company filter criteria including views of review sites,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Set Up Review Site Intent Monitoring
- Purchase intent data from relevant review sites
- Configure system to process incoming review site activity data

## 2. Define Target Criteria
- Establish saved search parameters for company filtering
- Set contact criteria (e.g., management level, department)

## 3. Automated Prospect Identification
- Monitor for new companies meeting saved search criteria
- Trigger contact discovery process in ZoomInfo

## 4. Contact Discovery and Export
- Discover up to 20 ZoomInfo contacts matching criteria
- Export contacts to designated business system (CRM, MAT, SEP)

## 5. Lead Assignment and Campaign Enrollment
- Automatically assign leads to specified user
- Enroll contacts in targeted email campaign (optional)

## 6. Competitive Differentiation Campaign
- Create email campaign highlighting product strengths vs. competitors
- Emphasize positive reviews and key competitive advantages

## 7. Multi-Channel Engagement
- Implement outreach across various channels (email, text, phone, etc.)

## 8. Performance Tracking
- Monitor engagement metrics across all channels
- Analyze conversion rates from review site intent to sales

## 9. Continuous Refinement
- Regularly review and adjust saved search criteria
- Update campaign messaging based on new reviews and market trends"
Physical Mail,Cold / New Leads,Pre-Sales,Intermediate,Medium,"Mail, Email","Sometimes you need to nudge prospects in the right direction, especially if you’ve had no prior engagement with them. Discuss with your team who should be eligible for a direct gift nudge — for example, someone who is not a previous customer and has a job title that's director level or above. Then set that criteria as an automated trigger in your marketing platform. 
Once the criteria is met, the prospect will be sent a message with a gift card attached, such as $15 at Amazon, Starbucks, or Uber Eats. This act of giving shows that you value them as a potential customer and significantly increa","- Identify company in CRM to qualify company for gifting, company swag or other physical mailing","'- Source expanded set of contacts which meet your persona definition prioritizing high value personas
- Send records to your CRM
- Assign to a Account Owner
- Enroll in Gifting Campaign (campaign should include a link for the prospect to claim a corporate gift / promotion)","## 1. Define Gift Eligibility Criteria
- Establish criteria for gift-eligible prospects
- Configure CRM or marketing automation system with these criteria

## 2. Set Up Automated Trigger
- Implement trigger based on defined eligibility criteria
- Ensure system can identify when a prospect meets the criteria

## 3. Source and Prioritize Contacts
- Use ZoomInfo to expand contact set within target companies
- Prioritize high-value personas based on predefined criteria

## 4. CRM Integration
- Set up automated process to send qualified records to CRM
- Ensure proper tagging and categorization of these contacts

## 5. Account Owner Assignment
- Develop logic for assigning prospects to appropriate account owners
- Implement automated assignment process in CRM

## 6. Gift Campaign Creation
- Design gifting campaign with appropriate messaging
- Include link for prospects to claim corporate gift or promotion

## 7. Campaign Enrollment
- Set up automated enrollment of qualified prospects into gifting campaign
- Ensure proper tracking of campaign participation

## 8. Gift Fulfillment Process
- Select and integrate with a gifting platform (e.g., Sendoso)
- Set up automated gift sending process

## 9. Follow-up Strategy
- Develop a follow-up plan for after gift claim
- Implement automated reminders for sales team

## 10. Performance Tracking
- Set up metrics to measure campaign effectiveness
- Regularly review and optimize based on performance data"
Targeting Customer's Competition,Cold / New Leads,Pre-Sales,Intermediate,Very High,"Email, Text, Mail, Events, Ads, Chat, Phone","Your current customers make a good conduit to new ones. When one of your customers closes a deal, go and prospect their competition for it. Because they’ll have a similar profile to your customer, you know that these competitors should be a good fit for your solution. Target them with an automated email campaign that references the missed deal. Show them how your product can help them, like their competition, expand and improve their results.","- Identify a new paying customer gets added to CRM. Trigger list of competing / lookalike companies based on tech data, overlapping keywords, shared intent topics","'- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Identify New Customer
- Monitor CRM for newly added paying customers
- Trigger automated search for competing/lookalike companies

## 2. Competitor Analysis

- Analyze tech data, overlapping keywords, and shared intent topics
- Generate list of potential target companies

## 3. Data Export and Enrichment

- Export competitor data to designated business system (CRM, MAT, SEP, CSV)
- Enrich exported data with additional relevant information

## 4. Lead Assignment

- Automatically assign new leads to appropriate sales team members

## 5. Campaign Creation

- Develop targeted email campaign referencing missed deal
- Highlight product benefits and competitive advantages

## 6. Campaign Enrollment

- Enroll identified competitors into the automated email campaign

## 7. Multi-Channel Engagement

- Implement outreach across various channels (email, text, mail, events, ads, chat, phone)

## 8. Personalization and Customization

- Tailor messaging to emphasize how your product can help them compete

## 9. Performance Tracking

- Monitor engagement metrics and conversion rates
- Analyze campaign effectiveness

## 10. Continuous Improvement

- Refine targeting criteria based on performance data
- Update campaign messaging to reflect market trends and feedback"
Competitive Tech Uninstall,Cold / New Leads,Pre-Sales,Expert,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","A competitor's customers can be a great source of new business - if you can get plugged into the right signals. Companies that churn from your competitors are already educated on your value proposition and understand its potential. This makes them well-positioned to find a better solution - you.
Use technographic data to monitor and alert you when a target company in your total addressable market (TAM) drops a competitive technology from their stack.
Automatically discover ZoomInfo contacts at these companies that fit the Buying Committee for those technologies. Create a play specific to each ",'- Take action on signals for specific technologies dropped at a company within your ICP (ideal customer profile),"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Set Up Technology Tracking
- Configure system to monitor specific competitor technologies
- Define criteria for identifying technology drops within target companies

## 2. Define Target Audience
- Establish saved search parameters for companies within ICP
- Set contact criteria for Buying Committee (e.g., management level, department)

## 3. Automated Signal Detection
- Monitor for technology drop signals in target companies
- Trigger lead discovery process when a signal is detected

## 4. ZoomInfo Contact Discovery
- Automatically search for up to 20 contacts meeting defined criteria
- Ensure discovered contacts align with Buying Committee profiles

## 5. Data Export and Enrichment
- Export discovered contacts to specified business system (CRM, MAT, SEP)
- Enrich contact and company data as needed

## 6. Lead Assignment
- Automatically assign leads to designated sales team member

## 7. Campaign Enrollment
- Create targeted campaign specific to the dropped technology
- Enroll discovered contacts into the campaign

## 8. Multi-Channel Outreach
- Implement outreach across various channels (email, phone, ads, mail, etc.)
- Tailor messaging to address the specific dropped technology

## 9. Performance Tracking
- Monitor engagement and conversion metrics for the campaign
- Analyze effectiveness of timing and messaging

## 10. Continuous Refinement
- Regularly review and update technology tracking parameters
- Refine contact discovery criteria based on campaign performance
-"
Tech Install Targeting,Cold / New Leads,Pre-Sales,Expert,Medium,"Email, Text, Mail, Events, Ads, Chat, Phone","Knowing what tech your product plays well with can expand your market. Identify which of your technologies complement the products or tools of other companies. Then run outbound campaigns to potential customers with messaging about using your product with that complementary technology.
You can automatically discover ZoomInfo contacts at these companies that fit the buying committee for those technologies. Create a play specific to each complementary technology and pair it with specific outbound messaging.",- Identify signals for specific technologies added at a company within your ICP,"'- Discover a set number of ZoomInfo contacts which meet your contact filters  
- Export
- Send records to your business system (CRM, MAT, SEP, CSV) 
- Assign to a User
- Then enroll in a Campaign (optional)","## 1. Identify Complementary Technologies
- Research and list technologies that complement your product
- Set up technology tracking in ZoomInfo for these complementary techs

## 2. Configure Trigger Criteria
- Establish parameters for company size, industry, and location
- Define specific technology adoption signals to monitor

## 3. Set Up Contact Discovery
- Create contact filters for target roles within buying committee
- Specify the number of contacts to discover per company (e.g., up to 20)

## 4. Automate Data Export
- Configure integration with CRM, MAT, or SEP
- Set up automatic export of discovered contacts and companies

## 5. Implement Lead Assignment
- Create rules for assigning leads to appropriate team members
- Ensure even distribution or territory-based assignment

## 6. Develop Targeted Campaigns
- Create specific campaigns for each complementary technology
- Craft messaging highlighting integration benefits and use cases

## 7. Enable Multi-Channel Outreach
- Set up email, phone, and social media outreach sequences
- Integrate direct mail and event invitations where appropriate

## 8. Establish Monitoring System
- Set up alerts for new technology adoptions within target accounts
- Implement tracking for campaign performance and engagement metrics

## 9. Optimize and Iterate
- Regularly review and adjust trigger criteria and contact filters
- Refine campaign messaging based on response rates and feedback"
